Eastern Conference,Wins,Losses,Win/Loss Percentage,Games Behind,Points Scored per Game,Points Allowed per Game,Simple Rating System,Conference
Cleveland Cavaliers (1),23,4,0.852,—,121.5,110.9,8.12,Eastern Conference
Boston Celtics (2),21,6,0.778,2.0,119.5,110.0,8.12,Eastern Conference
New York Knicks (3),17,10,0.63,6.0,117.0,110.0,5.64,Eastern Conference
Orlando Magic (4),17,12,0.586,7.0,106.8,103.6,2.67,Eastern Conference
Milwaukee Bucks (5),14,11,0.56,8.0,113.3,111.9,1.37,Eastern Conference
Miami Heat (6),13,11,0.542,8.5,112.8,109.7,2.13,Eastern Conference
Atlanta Hawks (7),14,14,0.5,9.5,116.5,119.3,-3.41,Eastern Conference
Indiana Pacers (8),13,15,0.464,10.5,114.6,117.0,-3.78,Eastern Conference
Chicago Bulls (9),13,15,0.464,10.5,118.8,121.4,-1.82,Eastern Conference
Brooklyn Nets (10),11,16,0.407,12.0,109.7,114.5,-3.03,Eastern Conference
Detroit Pistons (11),11,17,0.393,12.5,110.9,114.3,-3.19,Eastern Conference
Philadelphia 76ers (12),8,16,0.333,13.5,105.9,110.5,-4.08,Eastern Conference
Charlotte Hornets (13),7,20,0.259,16.0,106.9,113.1,-5.77,Eastern Conference
Toronto Raptors (14),7,21,0.25,16.5,111.7,116.7,-4.01,Eastern Conference
Washington Wizards (15),4,21,0.16,18.0,107.8,122.6,-11.96,Eastern Conference
