Western Conference,Wins,Losses,Win/Loss Percentage,Games Behind,Points Scored per Game,Points Allowed per Game,Simple Rating System,Conference
Oklahoma City Thunder (1),21,5,0.808,—,115.2,103.3,11.7,Western Conference
Memphis Grizzlies (2),19,9,0.679,3.0,122.9,113.0,7.95,Western Conference
Houston Rockets (3),18,9,0.667,3.5,112.9,106.4,7.07,Western Conference
Dallas Mavericks (4),17,10,0.63,4.5,118.6,112.7,5.53,Western Conference
Los Angeles Clippers (5),16,12,0.571,6.0,109.9,107.4,3.4,Western Conference
Denver Nuggets (6),14,11,0.56,6.5,119.4,116.9,3.26,Western Conference
Los Angeles Lakers (7),15,12,0.556,6.5,111.4,114.3,-2.86,Western Conference
Minnesota Timberwolves (8),14,12,0.538,7.0,109.7,106.6,2.9,Western Conference
Phoenix Suns (9),14,12,0.538,7.0,113.8,114.4,-1.01,Western Conference
Golden State Warriors (10),14,12,0.538,7.0,113.1,111.1,3.27,Western Conference
San Antonio Spurs (11),14,13,0.519,7.5,111.7,113.4,-2.2,Western Conference
Sacramento Kings (12),13,15,0.464,9.0,116.1,113.6,1.11,Western Conference
Portland Trail Blazers (13),9,18,0.333,12.5,107.6,116.4,-7.83,Western Conference
Utah Jazz (14),6,20,0.231,15.0,110.4,120.3,-8.58,Western Conference
New Orleans Pelicans (15),5,23,0.179,17.0,105.4,117.1,-10.85,Western Conference
